Symbol,median_volatility,hist_volatility,mean_momentum,mean_volume_norm,environmentScore,socialScore,governanceScore,marketCap,beta,highestControversy,GICS_Sector_encoded,GICS_Sector,Cluster_DBSCAN
BSX,0.014134756182174897,0.17136441156843002,1.020210016601358,3.886135092524161e-05,2.4,11.86,7.8,25.765173674353235,0.774,2,5.7454237288135594,Health Care,Safe
BWA,0.02156810428058324,0.293564679998013,0.9964569048921533,0.0004158429377927111,1.71,4.35,3.88,22.564554793326504,1.193,2,4.690799999999999,Consumer Discretionary,Safe
BX,0.023065042215822867,0.2913503684255525,1.0126772888907538,1.7682850495132875e-05,2.37,9.54,13.25,25.98696070234714,1.541,1,8.912463768115943,Financials,Risky
BXP,0.024330576339817785,0.3088364050963847,1.0027690483166962,0.00010467991383183675,2.8,3.93,5.26,23.208615951139535,1.214,0,4.796333333333333,Real Estate,Safe
C,0.01874514373772094,0.26517211872051616,1.0166541910492883,9.88937555346428e-05,1.54,12.57,7.78,25.702926326750113,1.416,3,8.912463768115943,Financials,Moderate
CAG,0.01765536739494827,0.22715942442664802,0.9971408313173532,0.0003969250720338438,9.26,13.84,3.84,23.243715388693552,0.173,2,4.580285714285714,Consumer Staples,Safe
CAH,0.01708166317175003,0.21142278740276993,1.0075365627867465,6.867466665767889e-05,0.76,6.91,3.65,24.163868300437976,0.677,2,5.7454237288135594,Health Care,Safe
CARR,0.020445035960257624,0.28629824344531213,1.0061381859879095,8.200808936140293e-05,7.98,4.67,3.53,24.724322586884725,1.229,2,4.938666666666666,Industrials,Safe
CAT,0.018476911004177574,0.26243185003818364,1.0085246720536005,1.5861854600368133e-05,10.17,11.77,6.39,25.79023735513168,1.138,2,4.938666666666666,Industrials,Safe
CB,0.013743425785113774,0.17972569074152991,1.0062887380230277,1.3895308024445302e-05,2.48,10.85,9.97,25.47681292368414,0.674,2,8.912463768115943,Financials,Moderate
CBOE,0.018855986538968517,0.21051006560371358,1.0053841310447869,3.670029773831377e-05,2.68,8.06,10.72,23.83708073509776,0.661,2,8.912463768115943,Financials,Moderate
CBRE,0.018754546835740675,0.2777678914683343,1.0175100009358726,4.095103209657048e-05,1.46,2.99,4.51,24.465477511528437,1.42,1,4.796333333333333,Real Estate,Safe
CCI,0.01801491305148801,0.22934193978071085,0.9943077743388652,6.554305390424721e-05,5.46,2.9,3.62,24.452820896138192,0.906,1,4.796333333333333,Real Estate,Safe
CCL,0.03069367536904964,0.41378070883255325,1.0152939348628531,0.0008697482793623724,7.26,10.57,4.11,24.171504658746255,2.669,3,4.690799999999999,Consumer Discretionary,Risky
CDNS,0.022647811224067102,0.3616228968712387,1.0030472521567142,2.684956025203388e-05,3.22,8.0,3.27,24.9168955164462,1.053,1,4.803181818181818,Information Technology,Safe
CDW,0.017375376352351427,0.2704118649775596,0.9958330822590938,4.33270636820445e-05,1.82,3.38,2.28,23.85243001662006,1.004,1,4.803181818181818,Information Technology,Safe
CE,0.02210743525783328,0.43474196357509254,0.9725031176351372,0.00027569374213950716,14.75,6.49,3.73,22.360472753801698,1.219,1,4.296296296296297,Materials,Risky
CEG,0.03450299457948312,0.6181400893672776,1.0354509200467232,4.451460615773877e-05,11.6,13.4,3.49,25.009211434795773,0.884,1,4.248064516129032,Utilities,Risky
CF,0.021122018800356097,0.29791902694402644,1.0037372519273673,0.00015931914886060927,15.89,8.85,3.42,23.30490586671783,0.979,1,4.296296296296297,Materials,Safe
CFG,0.021739130618520317,0.30236338033025606,1.0145380936478605,0.0002505276886131745,1.69,8.98,12.27,23.70353015535885,1.324,1,8.912463768115943,Financials,Moderate
CHD,0.015274448320230468,0.17275453076465122,1.0039545136037091,5.163320731991632e-05,7.02,9.59,6.05,24.03975453823149,0.565,2,4.580285714285714,Consumer Staples,Safe
CHRW,0.020380435129353634,0.3088885868490763,1.0061313210175047,0.00012083593901901034,4.47,8.84,4.14,23.20102379570489,0.835,1,4.938666666666666,Industrials,Safe
CHTR,0.025859671886730853,0.3937959493275329,0.9984766212029085,2.4993377050552696e-05,5.36,11.47,6.86,24.686256578768855,1.135,2,6.428421052631579,Communication Services,Safe
CI,0.017717532149707386,0.2480898790990978,0.9992136509273434,1.941726135734629e-05,0.13,8.85,4.01,25.168894298208187,0.533,2,5.7454237288135594,Health Care,Safe
CINF,0.015532833139977642,0.22421912721267828,1.0096025912238389,3.0143772763613972e-05,1.39,9.99,11.73,23.86241246066277,0.674,1,8.912463768115943,Financials,Moderate
CL,0.012863330300508244,0.16472095793790964,1.003956211175352,5.8963622032282675e-05,9.01,10.11,5.01,25.044993710318835,0.392,2,4.580285714285714,Consumer Staples,Safe
CLX,0.01589739737761763,0.21349627745471883,1.0037400104460694,6.497597525894185e-05,7.94,8.5,3.59,23.678389106681433,0.443,2,4.580285714285714,Consumer Staples,Safe
CMCSA,0.017312478168744445,0.25476137340238586,0.9939159748984571,0.00015204027712385375,4.14,9.88,8.25,25.636222147844922,1.006,2,6.428421052631579,Communication Services,Safe
CME,0.014709609712907079,0.1678377423758774,1.0084789708313413,2.091913373305467e-05,2.26,6.13,8.69,25.251206453777954,0.547,1,8.912463768115943,Financials,Moderate
CMG,0.019482777068965496,0.29495428960009545,1.0078581373240894,0.00017510773745209302,10.0,9.72,2.89,25.02239480818301,1.274,2,4.690799999999999,Consumer Discretionary,Safe
CMI,0.017874846441614835,0.24388162214659664,1.0164672026571138,2.668670722997462e-05,9.9,8.15,4.76,24.613842717456127,1.005,3,4.938666666666666,Industrials,Safe
CMS,0.014490322488705779,0.16406489347302397,1.0071101686130084,0.00010235452346180395,9.15,6.85,4.25,23.82014380944929,0.349,2,4.248064516129032,Utilities,Safe
CNC,0.021036688631725683,0.30729539857585403,0.9909614808020609,0.0001478130469157901,0.07,11.43,3.78,24.092739196221792,0.397,2,5.7454237288135594,Health Care,Safe
CNP,0.016214420083574512,0.19888591876859515,1.0061058281056177,0.00022819396039953726,11.31,9.87,3.77,23.838125630066436,0.904,2,4.248064516129032,Utilities,Safe
COF,0.0201361931589585,0.29874444913731496,1.016108241612278,3.5754397844566316e-05,0.32,12.57,7.53,25.038203049151985,1.476,3,8.912463768115943,Financials,Moderate
COP,0.017970092381473343,0.22893990013351168,0.9964564765833134,5.278832007568121e-05,17.2,8.74,7.2,25.492771800971465,1.129,2,5.838636363636363,Energy,Risky
COR,0.013910564071039562,0.18101178325767647,1.0054836789112678,2.8134301710635576e-05,1.09,6.62,4.72,24.624640813615,0.503,2,5.7454237288135594,Health Care,Safe
